t,o,h,l,c,v
2025-10-31T00:00:00+00:00,60.3,61.38,59.99,60.88,171559
2025-10-30T00:00:00+00:00,60.39,60.47,59.96,60.17,15909
2025-10-29T00:00:00+00:00,60.18,61.02,59.7,60.36,165903
2025-10-28T00:00:00+00:00,61.5,61.5,59.76,60.18,175649
2025-10-27T00:00:00+00:00,61.82,62.17,60.67,61.55,167520
2025-10-24T00:00:00+00:00,61.79,62.59,61.21,61.44,197803
2025-10-23T00:00:00+00:00,59.94,62.2,59.64,61.75,378489
2025-10-22T00:00:00+00:00,57.59,59.83,57.34,59.38,224251
2025-10-21T00:00:00+00:00,56.95,58.08,56.35,57.58,195354
2025-10-20T00:00:00+00:00,57.32,57.43,55.96,56.93,157770
2025-10-17T00:00:00+00:00,57.03,57.32,56.15,57.25,180839
2025-10-16T00:00:00+00:00,58.34,58.63,56.78,56.95,125880
2025-10-15T00:00:00+00:00,58.15,58.93,57.78,58.3,74044
2025-10-14T00:00:00+00:00,59.17,59.39,57.29,58.18,86444
2025-10-13T00:00:00+00:00,58.65,59.69,58.41,59.14,86176
2025-10-10T00:00:00+00:00,61.01,61.18,57.8,57.84,93046
2025-10-09T00:00:00+00:00,61.76,62.31,60.75,61.04,48129
2025-10-08T00:00:00+00:00,61.67,62.34,61.59,61.79,40654
2025-10-07T00:00:00+00:00,61.39,61.68,60.4,61.6,38474
2025-10-06T00:00:00+00:00,60.7,61.69,60.68,61.38,36752
2025-10-03T00:00:00+00:00,60.34,61.02,60.22,60.36,34403
2025-10-02T00:00:00+00:00,61.41,62.13,60.06,60.33,49474
2025-10-01T00:00:00+00:00,62.03,62.47,61.03,61.42,38728
2025-09-30T00:00:00+00:00,62.75,62.8,61.63,62.02,42318
2025-09-29T00:00:00+00:00,64.56,64.86,62.59,62.75,39076
2025-09-26T00:00:00+00:00,64.62,65.77,64.1,64.66,45939
2025-09-25T00:00:00+00:00,64.21,64.7,63.54,64.59,32961
2025-09-24T00:00:00+00:00,63.18,64.43,62.77,64.24,38454
2025-09-23T00:00:00+00:00,61.94,63.41,61.46,63.16,32900
2025-09-22T00:00:00+00:00,61.92,62.55,61.26,61.94,26336
2025-09-19T00:00:00+00:00,62.88,62.98,61.8,61.94,24291
2025-09-18T00:00:00+00:00,63.24,63.79,62.66,62.93,25519
