t,o,h,l,c,v
2025-11-03T01:47:24+00:00,61.18,61.18,61.18,61.18,1
2025-11-03T01:47:18+00:00,61.18,61.18,61.18,61.18,5
2025-11-03T01:46:42+00:00,61.17,61.17,61.17,61.17,1
2025-11-03T01:46:39+00:00,61.17,61.18,61.17,61.17,7
2025-11-03T01:46:36+00:00,61.17,61.17,61.17,61.17,1
2025-11-03T01:46:33+00:00,61.17,61.17,61.17,61.17,2
2025-11-03T01:46:21+00:00,61.17,61.17,61.17,61.17,1
2025-11-03T01:46:00+00:00,61.17,61.17,61.17,61.17,2
2025-11-03T01:45:57+00:00,61.17,61.17,61.17,61.17,1
2025-11-03T01:45:54+00:00,61.17,61.17,61.17,61.17,3
2025-11-03T01:45:48+00:00,61.17,61.17,61.17,61.17,3
2025-11-03T01:45:45+00:00,61.19,61.19,61.17,61.17,11
2025-11-03T01:45:36+00:00,61.19,61.19,61.19,61.19,1
2025-11-03T01:45:33+00:00,61.19,61.19,61.18,61.19,7
2025-11-03T01:45:15+00:00,61.18,61.18,61.18,61.18,1
2025-11-03T01:44:51+00:00,61.18,61.18,61.18,61.18,3
2025-11-03T01:44:48+00:00,61.18,61.18,61.18,61.18,2
2025-11-03T01:44:45+00:00,61.18,61.18,61.18,61.18,1
2025-11-03T01:44:42+00:00,61.19,61.19,61.18,61.18,7
2025-11-03T01:44:30+00:00,61.19,61.2,61.19,61.2,14
2025-11-03T01:44:27+00:00,61.19,61.19,61.19,61.19,1
2025-11-03T01:44:09+00:00,61.18,61.18,61.18,61.18,8
2025-11-03T01:44:03+00:00,61.17,61.17,61.17,61.17,2
2025-11-03T01:44:00+00:00,61.17,61.17,61.17,61.17,3
2025-11-03T01:43:21+00:00,61.17,61.17,61.17,61.17,4
2025-11-03T01:43:18+00:00,61.16,61.16,61.16,61.16,1
2025-11-03T01:43:06+00:00,61.17,61.17,61.17,61.17,8
2025-11-03T01:42:12+00:00,61.18,61.18,61.18,61.18,7
2025-11-03T01:41:51+00:00,61.18,61.18,61.18,61.18,1
2025-11-03T01:41:48+00:00,61.17,61.17,61.17,61.17,1
2025-11-03T01:41:18+00:00,61.17,61.17,61.17,61.17,10
2025-11-03T01:41:12+00:00,61.18,61.18,61.18,61.18,1
2025-11-03T01:41:03+00:00,61.18,61.18,61.18,61.18,1
2025-11-03T01:41:00+00:00,61.18,61.18,61.18,61.18,8
2025-11-03T01:40:57+00:00,61.18,61.18,61.18,61.18,5
2025-11-03T01:40:54+00:00,61.18,61.18,61.18,61.18,5
2025-11-03T01:40:51+00:00,61.18,61.18,61.18,61.18,1
2025-11-03T01:40:45+00:00,61.17,61.18,61.17,61.18,2
2025-11-03T01:40:39+00:00,61.17,61.17,61.17,61.17,4
2025-11-03T01:40:36+00:00,61.17,61.17,61.17,61.17,1
2025-11-03T01:40:33+00:00,61.18,61.18,61.17,61.17,19
2025-11-03T01:40:30+00:00,61.17,61.17,61.17,61.17,16
2025-11-03T01:40:18+00:00,61.16,61.16,61.16,61.16,1
2025-11-03T01:40:15+00:00,61.16,61.16,61.15,61.16,11
2025-11-03T01:40:12+00:00,61.16,61.17,61.16,61.17,2
2025-11-03T01:40:09+00:00,61.16,61.17,61.1,61.17,166
2025-11-03T01:39:57+00:00,61.17,61.17,61.17,61.17,11
2025-11-03T01:39:54+00:00,61.17,61.17,61.17,61.17,8
2025-11-03T01:39:51+00:00,61.17,61.17,61.17,61.17,1
2025-11-03T01:39:39+00:00,61.17,61.17,61.17,61.17,1
2025-11-03T01:39:12+00:00,61.17,61.17,61.17,61.17,7
2025-11-03T01:39:09+00:00,61.17,61.17,61.17,61.17,5
2025-11-03T01:39:00+00:00,61.17,61.17,61.17,61.17,1
2025-11-03T01:38:51+00:00,61.17,61.17,61.17,61.17,1
2025-11-03T01:38:39+00:00,61.16,61.16,61.16,61.16,1
2025-11-03T01:38:33+00:00,61.16,61.16,61.16,61.16,1
2025-11-03T01:38:27+00:00,61.16,61.16,61.16,61.16,2
2025-11-03T01:38:24+00:00,61.16,61.16,61.16,61.16,2
2025-11-03T01:38:18+00:00,61.16,61.16,61.16,61.16,1
2025-11-03T01:38:15+00:00,61.16,61.16,61.16,61.16,1
2025-11-03T01:38:09+00:00,61.16,61.16,61.16,61.16,6
2025-11-03T01:38:03+00:00,61.17,61.17,61.17,61.17,13
2025-11-03T01:37:45+00:00,61.17,61.17,61.17,61.17,2
2025-11-03T01:37:42+00:00,61.18,61.18,61.18,61.18,1
2025-11-03T01:37:39+00:00,61.18,61.18,61.18,61.18,3
2025-11-03T01:37:15+00:00,61.18,61.18,61.18,61.18,1
2025-11-03T01:37:12+00:00,61.18,61.18,61.18,61.18,1
2025-11-03T01:37:03+00:00,61.18,61.18,61.18,61.18,4
2025-11-03T01:37:00+00:00,61.19,61.19,61.19,61.19,9
2025-11-03T01:36:51+00:00,61.19,61.19,61.19,61.19,2
2025-11-03T01:36:48+00:00,61.18,61.18,61.18,61.18,5
2025-11-03T01:36:45+00:00,61.19,61.19,61.17,61.18,40
2025-11-03T01:36:42+00:00,61.2,61.2,61.2,61.2,2
2025-11-03T01:36:36+00:00,61.21,61.21,61.21,61.21,2
2025-11-03T01:36:18+00:00,61.21,61.21,61.21,61.21,1
2025-11-03T01:36:15+00:00,61.21,61.21,61.21,61.21,1
2025-11-03T01:36:09+00:00,61.21,61.21,61.21,61.21,1
2025-11-03T01:36:06+00:00,61.2,61.2,61.2,61.2,1
2025-11-03T01:36:03+00:00,61.21,61.21,61.21,61.21,1
2025-11-03T01:35:57+00:00,61.2,61.2,61.2,61.2,1
2025-11-03T01:35:51+00:00,61.2,61.2,61.2,61.2,2
2025-11-03T01:35:45+00:00,61.22,61.22,61.2,61.2,26
2025-11-03T01:35:39+00:00,61.23,61.23,61.23,61.23,1
2025-11-03T01:35:33+00:00,61.23,61.23,61.23,61.23,3
2025-11-03T01:35:00+00:00,61.24,61.24,61.23,61.23,3
2025-11-03T01:34:57+00:00,61.24,61.24,61.24,61.24,1
2025-11-03T01:34:54+00:00,61.24,61.24,61.24,61.24,9
2025-11-03T01:34:48+00:00,61.23,61.23,61.23,61.23,1
2025-11-03T01:34:42+00:00,61.23,61.23,61.23,61.23,9
2025-11-03T01:34:15+00:00,61.22,61.22,61.22,61.22,4
2025-11-03T01:34:00+00:00,61.22,61.22,61.22,61.22,1
