t,o,h,l,c,v
2025-11-03T01:47:36+00:00,6893.0,6893.25,6893.0,6893.25,15
2025-11-03T01:47:33+00:00,6893.0,6893.0,6893.0,6893.0,8
2025-11-03T01:47:30+00:00,6893.0,6893.0,6892.75,6892.75,5
2025-11-03T01:47:27+00:00,6893.0,6893.0,6893.0,6893.0,11
2025-11-03T01:47:21+00:00,6892.75,6892.75,6892.75,6892.75,1
2025-11-03T01:47:12+00:00,6892.75,6892.75,6892.75,6892.75,9
2025-11-03T01:47:06+00:00,6893.0,6893.0,6893.0,6893.0,4
2025-11-03T01:47:03+00:00,6893.0,6893.0,6893.0,6893.0,7
2025-11-03T01:46:57+00:00,6893.0,6893.0,6893.0,6893.0,10
2025-11-03T01:46:54+00:00,6893.0,6893.0,6893.0,6893.0,8
2025-11-03T01:46:45+00:00,6893.25,6893.25,6893.25,6893.25,10
2025-11-03T01:46:39+00:00,6893.25,6893.25,6893.25,6893.25,1
2025-11-03T01:46:36+00:00,6893.5,6893.5,6893.25,6893.25,8
2025-11-03T01:46:27+00:00,6893.75,6893.75,6893.75,6893.75,2
2025-11-03T01:46:24+00:00,6893.75,6893.75,6893.75,6893.75,5
2025-11-03T01:46:21+00:00,6893.5,6894.0,6893.5,6894.0,28
2025-11-03T01:46:06+00:00,6893.25,6893.25,6893.25,6893.25,10
2025-11-03T01:46:03+00:00,6893.0,6893.0,6893.0,6893.0,6
2025-11-03T01:46:00+00:00,6893.0,6893.0,6893.0,6893.0,1
2025-11-03T01:45:54+00:00,6893.25,6893.25,6893.25,6893.25,6
2025-11-03T01:45:48+00:00,6893.25,6893.5,6893.25,6893.25,4
2025-11-03T01:45:45+00:00,6893.25,6893.25,6893.25,6893.25,11
2025-11-03T01:45:42+00:00,6893.0,6893.25,6892.75,6893.25,52
2025-11-03T01:45:39+00:00,6893.25,6893.25,6893.0,6893.25,34
2025-11-03T01:45:36+00:00,6893.75,6893.75,6893.25,6893.5,58
2025-11-03T01:45:33+00:00,6893.75,6893.75,6893.5,6893.5,19
2025-11-03T01:45:30+00:00,6893.75,6893.75,6893.75,6893.75,4
2025-11-03T01:45:27+00:00,6893.5,6893.5,6893.5,6893.5,2
2025-11-03T01:45:24+00:00,6894.0,6894.0,6893.25,6893.75,47
2025-11-03T01:45:21+00:00,6894.0,6894.0,6894.0,6894.0,1
2025-11-03T01:45:18+00:00,6894.25,6894.25,6894.25,6894.25,6
2025-11-03T01:45:15+00:00,6894.25,6894.25,6894.25,6894.25,11
2025-11-03T01:45:12+00:00,6893.75,6894.0,6893.75,6894.0,9
2025-11-03T01:45:09+00:00,6894.0,6894.0,6894.0,6894.0,1
2025-11-03T01:45:06+00:00,6894.25,6894.25,6894.25,6894.25,7
2025-11-03T01:45:00+00:00,6894.25,6894.25,6894.25,6894.25,2
2025-11-03T01:44:51+00:00,6894.0,6894.0,6894.0,6894.0,2
2025-11-03T01:44:45+00:00,6894.0,6894.25,6893.75,6894.0,14
2025-11-03T01:44:42+00:00,6894.0,6894.0,6894.0,6894.0,11
2025-11-03T01:44:33+00:00,6894.0,6894.0,6894.0,6894.0,6
2025-11-03T01:44:30+00:00,6894.0,6894.0,6894.0,6894.0,5
2025-11-03T01:44:27+00:00,6894.0,6894.0,6894.0,6894.0,9
