t,o,h,l,c,v
2025-10-31T00:00:00+00:00,4038.2,4059.9,3982.3,4013.4,224018
2025-10-30T00:00:00+00:00,3942.8,3996.0,3925.1,3985.2,60116
2025-10-29T00:00:00+00:00,3967.2,4046.2,3930.0,3941.7,270607
2025-10-28T00:00:00+00:00,3999.9,4034.2,3901.3,3968.1,320540
2025-10-27T00:00:00+00:00,4103.2,4123.8,3985.9,3997.0,315127
2025-10-24T00:00:00+00:00,4144.0,4159.0,4055.7,4126.9,286413
2025-10-23T00:00:00+00:00,4114.8,4171.5,4079.6,4143.2,259674
2025-10-22T00:00:00+00:00,4137.0,4175.0,4021.2,4116.6,446920
2025-10-21T00:00:00+00:00,4371.0,4393.6,4093.0,4138.5,511893
2025-10-20T00:00:00+00:00,4269.0,4398.0,4229.7,4374.3,320952
2025-10-17T00:00:00+00:00,4348.1,4392.0,4196.0,4267.9,544456
2025-10-16T00:00:00+00:00,4225.1,4346.7,4214.5,4344.3,356292
2025-10-15T00:00:00+00:00,4160.1,4235.8,4157.3,4224.9,294819
2025-10-14T00:00:00+00:00,4130.9,4190.9,4105.0,4159.6,389101
2025-10-13T00:00:00+00:00,4018.3,4137.2,4011.3,4130.0,287705
2025-10-10T00:00:00+00:00,3990.1,4038.6,3961.2,4035.5,341765
2025-10-09T00:00:00+00:00,4061.8,4077.9,3957.9,3991.1,426454
2025-10-08T00:00:00+00:00,4007.1,4081.0,4005.6,4060.6,325222
2025-10-07T00:00:00+00:00,3983.0,4014.6,3963.4,4007.9,277281
2025-10-06T00:00:00+00:00,3913.5,3994.5,3909.2,3984.4,266058
2025-10-03T00:00:00+00:00,3880.4,3916.8,3861.1,3912.1,206051
2025-10-02T00:00:00+00:00,3892.7,3923.3,3842.8,3880.8,265060
2025-10-01T00:00:00+00:00,3887.7,3922.7,3880.3,3892.6,274873
2025-09-30T00:00:00+00:00,3863.1,3899.2,3820.6,3887.6,294259
2025-09-29T00:00:00+00:00,3788.8,3863.7,3785.5,3862.9,239683
2025-09-26T00:00:00+00:00,3781.5,3814.4,3764.0,3789.8,185057
2025-09-25T00:00:00+00:00,3768.3,3792.3,3751.9,3780.5,234442
2025-09-24T00:00:00+00:00,3796.9,3812.6,3749.7,3768.5,216954
2025-09-23T00:00:00+00:00,3781.2,3824.6,3772.4,3796.9,264969
2025-09-22T00:00:00+00:00,3721.3,3783.3,3718.1,3781.2,202912
2025-09-19T00:00:00+00:00,3677.7,3719.6,3664.4,3719.4,171541
2025-09-18T00:00:00+00:00,3692.5,3707.3,3660.5,3678.2,211539
2025-09-17T00:00:00+00:00,3727.3,3744.0,3679.5,3694.6,244481
2025-09-16T00:00:00+00:00,3720.3,3739.9,3711.8,3727.5,180579
2025-09-15T00:00:00+00:00,3680.2,3724.9,3662.8,3719.5,176607
2025-09-12T00:00:00+00:00,3672.8,3695.5,3667.3,3680.7,139911
2025-09-11T00:00:00+00:00,3680.6,3687.5,3651.0,3673.4,200637
2025-09-10T00:00:00+00:00,3662.0,3697.5,3651.4,3680.4,171163
2025-09-09T00:00:00+00:00,3676.6,3715.2,3663.7,3663.8,249108
2025-09-08T00:00:00+00:00,3635.0,3685.7,3621.7,3677.6,211845
2025-09-05T00:00:00+00:00,3602.0,3655.5,3595.4,3639.8,222988
2025-09-04T00:00:00+00:00,3619.8,3621.6,3573.7,3602.4,223380
2025-09-03T00:00:00+00:00,3600.0,3640.1,3592.4,3619.7,208276
2025-09-02T00:00:00+00:00,3517.9,3602.4,3506.0,3599.5,356301
2025-08-29T00:00:00+00:00,3477.2,3518.5,3463.0,3516.1,175445
2025-08-28T00:00:00+00:00,3452.6,3478.7,3442.5,3476.9,147176
2025-08-27T00:00:00+00:00,3443.0,3452.5,3422.2,3451.8,142636
2025-08-26T00:00:00+00:00,3410.8,3443.3,3396.1,3443.2,162580
2025-08-25T00:00:00+00:00,3417.6,3421.5,3405.5,3410.7,91344
2025-08-22T00:00:00+00:00,3383.3,3423.4,3362.8,3417.2,174582
2025-08-21T00:00:00+00:00,3392.2,3394.4,3367.4,3383.5,117187
2025-08-20T00:00:00+00:00,3359.0,3394.3,3353.4,3392.2,127897
2025-08-19T00:00:00+00:00,3378.3,3389.7,3358.1,3358.9,125718
2025-08-18T00:00:00+00:00,3382.4,3403.6,3368.0,3378.0,113762
2025-08-15T00:00:00+00:00,3383.2,3394.8,3377.7,3381.7,112730
2025-08-14T00:00:00+00:00,3407.2,3423.8,3375.5,3382.3,160469
2025-08-13T00:00:00+00:00,3399.6,3422.6,3392.7,3407.0,125986
2025-08-12T00:00:00+00:00,3393.6,3410.8,3379.1,3399.6,181906
2025-08-11T00:00:00+00:00,3458.1,3466.3,3393.0,3393.7,207325
2025-08-08T00:00:00+00:00,3487.9,3534.1,3445.0,3458.2,279634
2025-08-07T00:00:00+00:00,3431.8,3483.8,3430.0,3482.7,221636
2025-08-06T00:00:00+00:00,3434.9,3440.5,3411.7,3431.8,136558
