t,o,h,l,c,v
2025-11-03T01:51:00+00:00,4002.5,4006.8,4002.0,4004.1,269
2025-11-03T01:48:00+00:00,4003.4,4005.4,4001.3,4002.8,317
2025-11-03T01:45:00+00:00,4001.8,4003.6,3999.5,4003.0,495
2025-11-03T01:42:00+00:00,4003.0,4005.7,4000.1,4002.0,442
2025-11-03T01:39:00+00:00,4007.4,4007.7,4002.2,4002.9,413
2025-11-03T01:36:00+00:00,4008.9,4010.4,4006.5,4007.2,381
2025-11-03T01:33:00+00:00,4011.3,4011.4,4007.2,4008.8,344
2025-11-03T01:30:00+00:00,4008.4,4011.5,4006.9,4011.3,642
2025-11-03T01:27:00+00:00,4004.2,4009.5,4004.2,4008.6,986
2025-11-03T01:24:00+00:00,4001.7,4004.4,3999.9,4003.8,454
2025-11-03T01:21:00+00:00,4001.5,4003.2,3997.3,4001.7,689
2025-11-03T01:18:00+00:00,4000.1,4003.5,3999.8,4001.4,647
2025-11-03T01:15:00+00:00,3996.1,4001.4,3996.1,4000.3,652
2025-11-03T01:12:00+00:00,3995.4,3999.4,3994.7,3996.4,630
2025-11-03T01:09:00+00:00,3992.3,3997.6,3991.6,3994.9,933
2025-11-03T01:06:00+00:00,3986.5,3992.5,3986.1,3992.3,1001
2025-11-03T01:03:00+00:00,3981.4,3987.0,3976.9,3987.0,787
2025-11-03T01:00:00+00:00,3980.9,3982.5,3974.5,3981.6,1387
2025-11-03T00:57:00+00:00,3981.2,3982.4,3978.0,3980.9,502
2025-11-03T00:54:00+00:00,3984.0,3984.0,3976.8,3981.4,488
2025-11-03T00:51:00+00:00,3985.3,3985.4,3982.3,3983.5,281
2025-11-03T00:48:00+00:00,3984.2,3985.5,3982.5,3985.5,191
2025-11-03T00:45:00+00:00,3982.0,3986.6,3980.9,3984.3,331
2025-11-03T00:42:00+00:00,3986.9,3987.3,3981.2,3982.5,704
2025-11-03T00:39:00+00:00,3983.2,3986.9,3981.6,3986.9,356
2025-11-03T00:36:00+00:00,3978.4,3983.2,3978.2,3983.2,284
2025-11-03T00:33:00+00:00,3975.7,3978.5,3974.9,3978.5,183
2025-11-03T00:30:00+00:00,3979.2,3979.9,3972.8,3975.4,382
2025-11-03T00:27:00+00:00,3980.6,3981.7,3979.1,3979.9,180
2025-11-03T00:24:00+00:00,3982.4,3982.5,3979.2,3980.6,446
2025-11-03T00:21:00+00:00,3974.6,3982.4,3972.9,3982.4,563
2025-11-03T00:18:00+00:00,3973.1,3976.1,3971.3,3974.9,591
2025-11-03T00:15:00+00:00,3978.0,3979.8,3972.2,3973.1,1285
2025-11-03T00:12:00+00:00,3989.3,3989.9,3976.0,3978.2,1354
2025-11-03T00:09:00+00:00,3988.5,3989.5,3987.9,3989.3,322
2025-11-03T00:06:00+00:00,3990.3,3990.5,3988.0,3988.7,364
2025-11-03T00:03:00+00:00,3992.7,3993.0,3988.0,3990.3,541
2025-11-03T00:00:00+00:00,3990.0,3998.3,3988.3,3992.6,1365
2025-11-02T23:57:00+00:00,3989.5,3991.0,3988.3,3989.7,127
2025-11-02T23:54:00+00:00,3991.1,3993.7,3989.0,3989.8,256
2025-11-02T23:51:00+00:00,3993.4,3995.8,3988.4,3991.6,577
2025-11-02T23:48:00+00:00,3988.5,3993.4,3988.4,3993.0,263
2025-11-02T23:45:00+00:00,3990.0,3990.8,3988.1,3988.3,455
2025-11-02T23:42:00+00:00,3994.6,3995.1,3988.1,3989.0,656
2025-11-02T23:39:00+00:00,3994.9,3998.1,3994.0,3994.5,383
