t,o,h,l,c,v
2025-10-31T00:00:00+00:00,26150.5,26274.0,25888.75,25983.0,590702
2025-10-30T00:00:00+00:00,26154.5,26399.0,26140.0,26206.0,66642
2025-10-29T00:00:00+00:00,26179.75,26379.75,26049.25,26221.0,548648
2025-10-28T00:00:00+00:00,26002.5,26231.5,25943.0,26172.5,440019
2025-10-27T00:00:00+00:00,25723.5,26013.5,25700.0,26003.75,421306
2025-10-24T00:00:00+00:00,25283.25,25570.75,25276.0,25510.25,459795
2025-10-23T00:00:00+00:00,25012.25,25296.0,24937.0,25278.0,521868
2025-10-22T00:00:00+00:00,25283.75,25338.25,24804.75,25040.0,683813
2025-10-21T00:00:00+00:00,25326.75,25368.0,25203.25,25265.25,432351
2025-10-20T00:00:00+00:00,25065.75,25354.5,24955.75,25326.75,429882
2025-10-17T00:00:00+00:00,24793.75,25055.75,24410.0,25033.5,735170
2025-10-16T00:00:00+00:00,24937.0,25179.5,24643.5,24794.25,726829
2025-10-15T00:00:00+00:00,24754.0,25115.0,24663.25,24941.25,623584
2025-10-14T00:00:00+00:00,24913.75,25044.25,24421.0,24756.25,720613
2025-10-13T00:00:00+00:00,24542.0,24965.0,24542.0,24904.5,649746
2025-10-10T00:00:00+00:00,25287.75,25388.0,24158.5,24188.0,914794
2025-10-09T00:00:00+00:00,25351.5,25394.0,25160.75,25287.25,493736
2025-10-08T00:00:00+00:00,25059.75,25364.75,25026.25,25354.0,436333
2025-10-07T00:00:00+00:00,25184.5,25275.0,24984.75,25054.75,532138
2025-10-06T00:00:00+00:00,25000.0,25252.75,24995.0,25184.0,410616
2025-10-03T00:00:00+00:00,25101.5,25196.5,24923.25,24982.0,482299
2025-10-02T00:00:00+00:00,25009.25,25180.0,24993.75,25105.0,451665
2025-10-01T00:00:00+00:00,24843.0,25036.75,24633.25,25009.25,466539
2025-09-30T00:00:00+00:00,24817.75,24913.75,24722.25,24838.25,503096
2025-09-29T00:00:00+00:00,24726.5,24975.5,24721.75,24811.25,501113
2025-09-26T00:00:00+00:00,24642.5,24747.5,24520.0,24726.5,542986
2025-09-25T00:00:00+00:00,24746.0,24793.5,24422.5,24635.5,687130
2025-09-24T00:00:00+00:00,24839.5,24913.5,24627.0,24747.5,521655
2025-09-23T00:00:00+00:00,24995.0,25026.0,24780.5,24833.75,551327
2025-09-22T00:00:00+00:00,24850.0,25027.25,24748.75,24996.25,467903
2025-09-19T00:00:00+00:00,24717.75,24888.0,24655.0,24861.0,480380
2025-09-18T00:00:00+00:00,24498.5,24816.0,24495.25,24713.75,518528
2025-09-17T00:00:00+00:00,24526.75,24553.0,24242.0,24502.0,549031
2025-09-16T00:00:00+00:00,24533.75,24647.25,24499.25,24530.25,320651
2025-09-15T00:00:00+00:00,24353.0,24556.75,24317.75,24538.0,216515
