t,o,h,l,c,v
2025-11-03T01:47:36+00:00,26095.25,26095.25,26094.25,26094.75,8
2025-11-03T01:47:33+00:00,26095.0,26095.5,26095.0,26095.0,7
2025-11-03T01:47:30+00:00,26094.5,26094.5,26094.5,26094.5,1
2025-11-03T01:47:24+00:00,26094.25,26094.25,26094.25,26094.25,1
2025-11-03T01:47:18+00:00,26093.25,26093.25,26093.25,26093.25,2
2025-11-03T01:47:12+00:00,26093.5,26093.5,26093.0,26093.0,3
2025-11-03T01:47:09+00:00,26094.0,26094.0,26094.0,26094.0,1
2025-11-03T01:47:03+00:00,26094.75,26094.75,26094.75,26094.75,1
2025-11-03T01:46:57+00:00,26094.5,26094.75,26094.25,26094.75,3
2025-11-03T01:46:54+00:00,26095.0,26095.0,26094.75,26094.75,3
2025-11-03T01:46:51+00:00,26095.0,26095.0,26095.0,26095.0,1
2025-11-03T01:46:48+00:00,26095.0,26095.0,26095.0,26095.0,1
2025-11-03T01:46:45+00:00,26095.5,26095.75,26095.0,26095.0,3
2025-11-03T01:46:42+00:00,26095.25,26095.5,26095.25,26095.5,2
2025-11-03T01:46:36+00:00,26097.5,26097.5,26095.75,26095.75,4
2025-11-03T01:46:33+00:00,26098.0,26098.5,26098.0,26098.5,5
2025-11-03T01:46:30+00:00,26098.0,26098.0,26098.0,26098.0,1
2025-11-03T01:46:27+00:00,26098.0,26098.0,26098.0,26098.0,1
2025-11-03T01:46:24+00:00,26098.0,26098.25,26098.0,26098.25,3
2025-11-03T01:46:21+00:00,26096.25,26099.75,26096.25,26098.75,28
2025-11-03T01:46:18+00:00,26096.25,26096.25,26096.25,26096.25,1
2025-11-03T01:46:06+00:00,26095.25,26095.25,26095.25,26095.25,2
2025-11-03T01:46:03+00:00,26094.75,26095.0,26093.75,26094.75,14
2025-11-03T01:46:00+00:00,26095.0,26095.0,26094.5,26094.5,2
2025-11-03T01:45:57+00:00,26095.25,26095.25,26095.25,26095.25,1
2025-11-03T01:45:54+00:00,26095.75,26095.75,26094.75,26094.75,3
2025-11-03T01:45:51+00:00,26095.75,26096.5,26095.75,26096.5,2
2025-11-03T01:45:45+00:00,26095.75,26095.75,26095.25,26095.5,4
2025-11-03T01:45:42+00:00,26094.5,26094.5,26093.25,26094.5,9
2025-11-03T01:45:39+00:00,26095.5,26095.5,26095.0,26095.0,2
2025-11-03T01:45:36+00:00,26097.25,26097.5,26096.25,26096.25,12
2025-11-03T01:45:33+00:00,26095.75,26096.0,26095.0,26096.0,13
2025-11-03T01:45:30+00:00,26096.0,26096.0,26095.5,26095.5,3
2025-11-03T01:45:27+00:00,26096.25,26096.25,26095.25,26095.25,7
2025-11-03T01:45:24+00:00,26097.75,26098.0,26096.75,26096.75,10
2025-11-03T01:45:18+00:00,26100.0,26100.0,26099.25,26099.25,3
2025-11-03T01:45:15+00:00,26099.0,26099.0,26099.0,26099.0,1
2025-11-03T01:45:12+00:00,26097.75,26097.75,26097.75,26097.75,1
2025-11-03T01:45:09+00:00,26098.5,26098.5,26097.0,26097.0,5
2025-11-03T01:45:06+00:00,26099.0,26099.0,26098.25,26098.75,4
2025-11-03T01:45:03+00:00,26099.0,26099.0,26099.0,26099.0,1
2025-11-03T01:45:00+00:00,26099.5,26100.0,26099.5,26099.75,16
2025-11-03T01:44:57+00:00,26099.0,26099.0,26099.0,26099.0,1
2025-11-03T01:44:54+00:00,26099.0,26099.0,26098.75,26098.75,2
2025-11-03T01:44:51+00:00,26098.75,26098.75,26098.75,26098.75,1
2025-11-03T01:44:48+00:00,26097.75,26098.0,26097.75,26098.0,3
2025-11-03T01:44:45+00:00,26098.5,26098.5,26097.25,26097.25,8
2025-11-03T01:44:42+00:00,26098.75,26099.0,26098.5,26099.0,11
2025-11-03T01:44:36+00:00,26099.25,26099.25,26099.25,26099.25,1
2025-11-03T01:44:33+00:00,26099.0,26099.0,26099.0,26099.0,1
2025-11-03T01:44:27+00:00,26098.75,26099.0,26098.75,26099.0,3
2025-11-03T01:44:24+00:00,26099.0,26099.5,26099.0,26099.5,11
2025-11-03T01:44:21+00:00,26099.0,26099.0,26099.0,26099.0,2
2025-11-03T01:44:18+00:00,26098.5,26098.75,26098.5,26098.75,2
2025-11-03T01:44:12+00:00,26098.25,26098.25,26098.25,26098.25,2
2025-11-03T01:44:06+00:00,26097.25,26097.25,26097.25,26097.25,1
2025-11-03T01:44:03+00:00,26097.75,26098.75,26097.25,26097.5,12
2025-11-03T01:44:00+00:00,26098.75,26098.75,26098.0,26098.5,5
2025-11-03T01:43:57+00:00,26099.75,26100.0,26099.0,26099.25,8
2025-11-03T01:43:54+00:00,26099.25,26100.0,26099.25,26099.75,19
2025-11-03T01:43:48+00:00,26098.0,26099.25,26098.0,26099.25,3
2025-11-03T01:43:42+00:00,26097.75,26097.75,26097.75,26097.75,1
2025-11-03T01:43:39+00:00,26097.75,26098.0,26097.25,26098.0,9
2025-11-03T01:43:36+00:00,26098.75,26098.75,26098.25,26098.25,4
2025-11-03T01:43:33+00:00,26098.25,26098.5,26098.0,26098.5,5
2025-11-03T01:43:30+00:00,26098.5,26098.5,26098.0,26098.25,8
2025-11-03T01:43:27+00:00,26098.75,26099.25,26098.75,26099.25,2
2025-11-03T01:43:24+00:00,26097.0,26100.25,26097.0,26098.5,30
2025-11-03T01:43:21+00:00,26096.5,26096.75,26096.25,26096.75,19
2025-11-03T01:43:18+00:00,26096.5,26096.5,26096.5,26096.5,1
2025-11-03T01:43:15+00:00,26096.0,26096.5,26095.5,26096.5,11
2025-11-03T01:43:12+00:00,26094.5,26095.5,26094.5,26095.5,2
2025-11-03T01:43:09+00:00,26093.75,26094.25,26093.75,26094.25,2
2025-11-03T01:43:06+00:00,26094.75,26095.0,26094.5,26094.5,4
2025-11-03T01:43:03+00:00,26094.0,26094.25,26094.0,26094.25,2
2025-11-03T01:43:00+00:00,26093.5,26094.0,26093.5,26093.5,4
2025-11-03T01:42:57+00:00,26093.5,26093.5,26093.5,26093.5,2
2025-11-03T01:42:54+00:00,26094.0,26094.0,26094.0,26094.0,2
2025-11-03T01:42:51+00:00,26092.75,26092.75,26092.75,26092.75,1
2025-11-03T01:42:45+00:00,26092.25,26092.25,26092.25,26092.25,1
2025-11-03T01:42:39+00:00,26092.75,26092.75,26092.75,26092.75,1
2025-11-03T01:42:36+00:00,26093.5,26093.5,26092.75,26092.75,2
2025-11-03T01:42:33+00:00,26093.0,26093.0,26093.0,26093.0,2
2025-11-03T01:42:27+00:00,26092.75,26092.75,26092.75,26092.75,2
2025-11-03T01:42:24+00:00,26092.25,26093.25,26092.25,26093.25,9
2025-11-03T01:42:21+00:00,26092.25,26092.25,26091.75,26091.75,2
2025-11-03T01:42:18+00:00,26093.25,26093.25,26092.75,26092.75,4
2025-11-03T01:42:15+00:00,26093.25,26093.25,26093.25,26093.25,2
2025-11-03T01:42:12+00:00,26093.75,26094.5,26093.0,26093.0,11
2025-11-03T01:42:09+00:00,26093.5,26094.0,26093.5,26094.0,3
2025-11-03T01:42:06+00:00,26092.75,26094.25,26092.75,26094.25,4
2025-11-03T01:42:03+00:00,26092.5,26092.75,26092.5,26092.75,2
2025-11-03T01:42:00+00:00,26091.25,26091.5,26091.25,26091.25,3
2025-11-03T01:41:54+00:00,26091.25,26091.25,26091.25,26091.25,2
2025-11-03T01:41:51+00:00,26091.0,26091.25,26091.0,26091.25,2
2025-11-03T01:41:48+00:00,26089.5,26091.0,26089.5,26090.75,10
2025-11-03T01:41:45+00:00,26090.25,26090.25,26087.5,26088.75,20
2025-11-03T01:41:42+00:00,26089.75,26090.0,26089.75,26090.0,3
2025-11-03T01:41:39+00:00,26090.5,26090.5,26088.75,26090.25,28
2025-11-03T01:41:36+00:00,26091.25,26091.5,26090.5,26090.5,14
2025-11-03T01:41:33+00:00,26091.75,26091.75,26091.5,26091.5,2
2025-11-03T01:41:30+00:00,26091.5,26091.75,26091.5,26091.75,2
2025-11-03T01:41:27+00:00,26092.75,26092.75,26090.75,26091.75,19
2025-11-03T01:41:24+00:00,26092.75,26093.0,26091.5,26092.75,11
2025-11-03T01:41:21+00:00,26092.75,26092.75,26092.5,26092.5,3
2025-11-03T01:41:15+00:00,26092.5,26093.25,26092.5,26093.25,5
2025-11-03T01:41:12+00:00,26092.25,26092.25,26092.25,26092.25,4
2025-11-03T01:41:09+00:00,26091.75,26092.5,26091.75,26092.5,7
2025-11-03T01:41:06+00:00,26093.0,26093.0,26090.75,26091.0,16
2025-11-03T01:41:03+00:00,26092.5,26093.0,26092.0,26093.0,29
2025-11-03T01:41:00+00:00,26094.0,26094.0,26092.5,26092.75,25
2025-11-03T01:40:57+00:00,26095.0,26095.25,26094.0,26094.25,25
2025-11-03T01:40:54+00:00,26095.5,26095.5,26095.25,26095.25,2
2025-11-03T01:40:51+00:00,26096.25,26096.25,26096.0,26096.0,2
2025-11-03T01:40:48+00:00,26096.25,26096.25,26095.75,26095.75,3
2025-11-03T01:40:45+00:00,26096.0,26096.0,26096.0,26096.0,1
2025-11-03T01:40:42+00:00,26097.0,26097.25,26096.5,26096.5,3
2025-11-03T01:40:39+00:00,26096.0,26096.0,26096.0,26096.0,1
2025-11-03T01:40:21+00:00,26097.75,26097.75,26097.75,26097.75,1
2025-11-03T01:40:18+00:00,26097.75,26097.75,26097.75,26097.75,1
2025-11-03T01:40:15+00:00,26097.0,26097.0,26096.75,26097.0,4
2025-11-03T01:40:09+00:00,26097.75,26098.25,26097.75,26098.25,4
2025-11-03T01:40:06+00:00,26097.25,26097.25,26097.25,26097.25,1
2025-11-03T01:40:03+00:00,26097.5,26097.5,26097.5,26097.5,1
2025-11-03T01:39:54+00:00,26098.0,26098.0,26098.0,26098.0,1
2025-11-03T01:39:42+00:00,26099.5,26099.5,26099.5,26099.5,1
2025-11-03T01:39:39+00:00,26098.75,26098.75,26098.75,26098.75,1
2025-11-03T01:39:33+00:00,26098.25,26098.25,26098.25,26098.25,1
2025-11-03T01:39:27+00:00,26098.0,26098.0,26098.0,26098.0,3
2025-11-03T01:39:21+00:00,26098.5,26098.5,26097.75,26097.75,3
2025-11-03T01:39:18+00:00,26099.0,26099.0,26098.5,26098.5,3
2025-11-03T01:39:15+00:00,26098.25,26098.25,26098.25,26098.25,1
2025-11-03T01:39:09+00:00,26097.25,26097.5,26097.25,26097.5,5
2025-11-03T01:39:06+00:00,26099.0,26099.0,26097.25,26097.25,6
2025-11-03T01:39:00+00:00,26099.25,26099.5,26099.0,26099.5,5
2025-11-03T01:38:57+00:00,26099.25,26100.5,26099.25,26099.75,10
2025-11-03T01:38:54+00:00,26098.75,26099.0,26098.75,26099.0,5
2025-11-03T01:38:51+00:00,26097.5,26097.5,26097.5,26097.5,1
2025-11-03T01:38:48+00:00,26098.25,26098.25,26098.0,26098.0,2
2025-11-03T01:38:45+00:00,26099.0,26099.0,26099.0,26099.0,1
2025-11-03T01:38:42+00:00,26099.0,26099.0,26099.0,26099.0,1
2025-11-03T01:38:36+00:00,26099.0,26099.5,26099.0,26099.0,4
2025-11-03T01:38:33+00:00,26097.75,26097.75,26097.75,26097.75,1
